"OrchestrationApplicationCode","StatusCode","ProcessName","SequenceNumber","DooProcessVersion","NotifyFlag","CreatedBy","LastUpdatedBy","ConditionDisplayTaskCode"
"DOO","BILLED","ClickShipCollect2","90","1","N","SCM_IMPL","SCM_IMPL","""Settlement""=""AWAIT_BILLING""OR""Settlement""=""BILLED"""
"DOO","AWAIT_BILLING","ShipOrderProcess","7","1","","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""AWAIT_BILLING"""
"DOO","SCH_MANUAL","ShipOrderProcess","12","1","","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""USER_ACTION"""
"DOO","RESERVED","ClickShipCollect2","20","1","N","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED"""
"DOO","AWAIT_CUSTOMER_PICKUP","ClickShipCollect2","45","1","N","SCM_IMPL","SCM_IMPL","""CustomerPickup""=""AWAIT_SHIP"""
"DOO","AWAIT_CUSTOMER_PICKUP","ClickShipCollect4","45","1","N","SCM_IMPL","SCM_IMPL","""CustomerPickup""=""AWAIT_SHIP"""
"DOO","AWAIT_SHIP","ClickShipCollect4","40","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP"""
"DOO","BACKORDERED","ClickShipCollect4","50","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED""OR""CustomerPickup""=""BACKORDERED"""
"DOO","BILLED","ClickShipCollect4","90","1","N","SCM_IMPL","SCM_IMPL","""Settlement""=""AWAIT_BILLING""OR""Settlement""=""BILLED"""
"DOO","CREDIT_CARD_APPROVED","ClickShipCollect4","5","1","N","SCM_IMPL","SCM_IMPL","""Credit Card Payment""=""CREDIT_CARD_APPROVED"""
"DOO","CUSTOMER_NOTIFIED","ClickShipCollect4","30","1","N","SCM_IMPL","SCM_IMPL","""NotifyCustomer""=""CUSTOMER_NOTIFIED"""
"DOO","PICKED","ClickShipCollect4","60","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED""OR""CustomerPickup""=""PICKED"""
"DOO","RESERVED","ClickShipCollect4","20","1","N","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED"""
"DOO","SCHEDULED","ClickShipCollect4","10","1","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED"""
"DOO","SHIPPED","ClickShipCollect4","70","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED""OR""CustomerPickup""=""SHIPPED"""
"DOO","SKU_PICKED","ClickShipCollect4","25","1","N","SCM_IMPL","SCM_IMPL","""NotifyStoretoPickSKU""=""SKU_PICKED"""
"DOO","PICKED","ShipOrderGenericProcessIA1","50","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED"""
"DOO","RESERVED","ShipOrderGenericProcessIA1","20","2","N","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED"""
"DOO","RES_MANUAL","ShipOrderGenericProcessIA1","120","2","N","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""USER_ACTION"""
"DOO","SCHEDULED","ShipOrderGenericProcessIA1","10","2","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED"""
"DOO","SCH_MANUAL","ShipOrderGenericProcessIA1","110","2","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""USER_ACTION"""
"DOO","SHIPPED","ShipOrderGenericProcessIA1","60","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED"""
"DOO","AWAIT_BILLING","ShipOrderGenericProcessSA1","70","1","N","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""AWAIT_BILLING"""
"DOO","AWAIT_OTHER_LINES","ShipOrderGenericProcessSA1","65","1","N","SCM_IMPL","SCM_IMPL","""DOO_Pause""=""WAITING"""
"DOO","AWAIT_SHIP","ShipOrderGenericProcessSA1","30","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP""OR""DOO_Ship""=""VARIOUS"""
"DOO","BACKORDERED","ShipOrderGenericProcessSA1","40","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED"""
"DOO","BILLED","ShipOrderGenericProcessSA1","80","1","N","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""BILLED"""
"DOO","PARTIAL_BACK","ShipOrderGenericProcessSA1","100","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_BACK"""
"DOO","PARTIAL_PICK","ShipOrderGenericProcessSA1","90","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_PICK"""
"DOO","PICKED","ShipOrderGenericProcessSA1","50","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED"""
"DOO","RESERVED","ShipOrderGenericProcessSA1","20","1","N","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED"""
"DOO","RES_MANUAL","ShipOrderGenericProcessSA1","120","1","N","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""USER_ACTION"""
"DOO","SCHEDULED","ShipOrderGenericProcessSA1","10","1","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED"""
"DOO","SCH_MANUAL","ShipOrderGenericProcessSA1","110","1","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""USER_ACTION"""
"DOO","SHIPPED","ShipOrderGenericProcessSA1","60","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED"""
"DOO","ACT_SCHEDULED","CustomDOO_GSE_GOP_OrderFulfillmentGenericProcess","100","1","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED"""
"DOO","AWAIT_BILLING","CustomDOO_GSE_GOP_OrderFulfillmentGenericProcess","1000","1","N","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""AWAIT_BILLING"""
"DOO","AWAIT_FLINE_AGGREGATE","CustomDOO_GSE_GOP_OrderFulfillmentGenericProcess","110","1","N","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""AWAIT_FLINE_AGGREGATE"""
"DOO","AWAIT_FULFILLMENT","CustomDOO_GSE_GOP_OrderFulfillmentGenericProcess","120","1","N","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""AWAIT_FULFILLMENT"""
"DOO","AWAIT_SHIP","CustomDOO_GSE_GOP_OrderFulfillmentGenericProcess","150","1","N","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""AWAIT_SHIP""OR""DOO_Procure""=""VARIOUS"""
"DOO","AWAIT_SHIP","CustomDOO_GSE_GOP_OrderFulfillmentGenericProcess","220","1","N","SCM_IMPL","SCM_IMPL","""DOO_SHIP_BACK_TO_BACK""=""AWAIT_SHIP""OR""DOO_SHIP_BACK_TO_BACK""=""VARIOUS"""
"DOO","AWAIT_SHIP","CustomDOO_GSE_GOP_OrderFulfillmentGenericProcess","600","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP""OR""DOO_Ship""=""VARIOUS"""
"DOO","BACKORDERED","CustomDOO_GSE_GOP_OrderFulfillmentGenericProcess","230","1","N","SCM_IMPL","SCM_IMPL","""DOO_SHIP_BACK_TO_BACK""=""BACKORDERED"""
"DOO","BACKORDERED","CustomDOO_GSE_GOP_OrderFulfillmentGenericProcess","700","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED"""
"DOO","BILLED","CustomDOO_GSE_GOP_OrderFulfillmentGenericProcess","1100","1","N","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""BILLED"""
"DOO","DOO_PO_CHANGE_REJECTED","CustomDOO_GSE_GOP_OrderFulfillmentGenericProcess","170","1","N","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""DOO_PO_CHANGE_REJECTED"""
"DOO","DOO_PRC_CANCEL","CustomDOO_GSE_GOP_OrderFulfillmentGenericProcess","190","1","N","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""DOO_PRC_CANCEL"""
"DOO","DOO_REQ_CREATED","CustomDOO_GSE_GOP_OrderFulfillmentGenericProcess","140","1","N","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""DOO_REQ_CREATED"""
