"DOO_ORCHESTRATION_PROCESS.DooProcessVersion","DOO_ORCHESTRATION_PROCESS.ProcessName","ORA_DOO_ORCHESTRATION_PROCESS_STEP_DEFINITION.OrchestrationApplicationCode","ORA_DOO_ORCHESTRATION_PROCESS_STEP_DEFINITION.DooProcessVersion","ORA_DOO_ORCHESTRATION_PROCESS_STEP_DEFINITION.StepNumber","Language","SourceLang","StepName","SplitUnitDisplayName"
"2","ClickShipCollect2","DOO","2","1400","LT","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","LV","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","N","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","NL","NL","Wacht op ophalen door klant","Split"
"2","ClickShipCollect2","DOO","2","1400","PL","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","PT","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","PTB","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","RO","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","RU","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","S","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","SF","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","SK","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","SL","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","TH","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","TR","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","UK","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","US","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","VN","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","ZHS","ZHS","等待客户起运","拆分"
"2","ClickShipCollect2","DOO","2","1400","ZHT","ZHT","等待客戶起隕","拆分"
"2","ClickShipCollect2","DOO","2","400","AR","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","CS","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","D","D","Reservierung erstellen","Aufteilen"
"2","ClickShipCollect2","DOO","2","400","DK","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","E","E","Crear reserva","Fraccionar"
"2","ClickShipCollect2","DOO","2","400","EL","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","ESA","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","ET","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","F","F","Créer une réservation","Fractionner"
"2","ClickShipCollect2","DOO","2","400","FRC","FRC","Créer une réservation","Fractionner"
"2","ClickShipCollect2","DOO","2","400","HR","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","HU","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","I","I","Creazione prenotazione","Dividere"
"2","ClickShipCollect2","DOO","2","400","IS","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","IW","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","JA","JA","予約作成","分割"
"2","ClickShipCollect2","DOO","2","400","KO","KO","예약생성","분열"
"2","ClickShipCollect2","DOO","2","400","LT","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","LV","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","N","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","NL","NL","Reservering aanmaking","Split"
"2","ClickShipCollect2","DOO","2","400","PL","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","PT","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","PTB","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","RO","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","RU","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","S","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","SF","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","SK","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","SL","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","TH","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","TR","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","UK","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","US","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","VN","US","Create Reservation","Split"
"2","ClickShipCollect2","DOO","2","400","ZHS","ZHS","创建保留","拆分"
"2","ClickShipCollect2","DOO","2","400","ZHT","ZHT","創建保留","拆分"
"2","ClickShipCollect2","DOO","2","200","AR","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","CS","US","Schedule","Split"
